Cell,Original Cluster,Cluster Nr
Cell1_1,Group5,5
Cell2_1,Group4,4
Cell3_1,Group5,5
Cell4_1,Group2,2
Cell5_1,Group1,1
Cell6_1,Group2,2
Cell7_1,Group2,2
Cell8_1,Group1,1
Cell9_1,Group4,4
Cell10_1,Group5,5
Cell11_1,Group3,3
Cell12_1,Group4,4
Cell13_1,Group4,4
Cell14_1,Group5,5
Cell15_1,Group3,3
Cell16_1,Group5,5
Cell17_1,Group2,2
Cell18_1,Group1,1
Cell19_1,Group3,3
Cell20_1,Group2,2
Cell21_1,Group3,3
Cell22_1,Group3,3
Cell23_1,Group5,5
Cell24_1,Group4,4
Cell25_1,Group4,4
Cell26_1,Group1,1
Cell27_1,Group5,5
Cell28_1,Group1,1
Cell29_1,Group5,5
Cell30_1,Group2,2
Cell31_1,Group2,2
Cell32_1,Group3,3
Cell33_1,Group3,3
Cell34_1,Group3,3
Cell35_1,Group1,1
Cell36_1,Group3,3
Cell37_1,Group2,2
Cell38_1,Group3,3
Cell39_1,Group5,5
Cell40_1,Group1,1
Cell41_1,Group2,2
Cell42_1,Group2,2
Cell43_1,Group1,1
Cell44_1,Group5,5
Cell45_1,Group3,3
Cell46_1,Group5,5
Cell47_1,Group4,4
Cell48_1,Group1,1
Cell49_1,Group2,2
Cell50_1,Group4,4
Cell51_1,Group2,2
Cell52_1,Group3,3
Cell53_1,Group1,1
Cell54_1,Group4,4
Cell55_1,Group5,5
Cell56_1,Group5,5
Cell57_1,Group4,4
Cell58_1,Group5,5
Cell59_1,Group4,4
Cell60_1,Group5,5
Cell61_1,Group1,1
Cell62_1,Group2,2
Cell63_1,Group5,5
Cell64_1,Group1,1
Cell65_1,Group2,2
Cell66_1,Group2,2
Cell67_1,Group4,4
Cell68_1,Group4,4
Cell69_1,Group3,3
Cell70_1,Group4,4
Cell71_1,Group1,1
Cell72_1,Group2,2
Cell73_1,Group1,1
Cell74_1,Group3,3
Cell75_1,Group4,4
Cell76_1,Group2,2
Cell77_1,Group1,1
Cell78_1,Group5,5
Cell79_1,Group5,5
Cell80_1,Group2,2
Cell81_1,Group1,1
Cell82_1,Group2,2
Cell83_1,Group2,2
Cell84_1,Group2,2
Cell85_1,Group1,1
Cell86_1,Group5,5
Cell87_1,Group1,1
Cell88_1,Group1,1
Cell89_1,Group5,5
Cell90_1,Group5,5
Cell91_1,Group1,1
Cell92_1,Group1,1
Cell93_1,Group3,3
Cell94_1,Group5,5
Cell95_1,Group3,3
Cell96_1,Group5,5
Cell97_1,Group1,1
Cell98_1,Group2,2
Cell99_1,Group5,5
Cell100_1,Group4,4
Cell101_1,Group2,2
Cell102_1,Group1,1
Cell103_1,Group4,4
Cell104_1,Group4,4
Cell105_1,Group5,5
Cell106_1,Group4,4
Cell107_1,Group1,1
Cell108_1,Group5,5
Cell109_1,Group3,3
Cell110_1,Group4,4
Cell111_1,Group4,4
Cell112_1,Group3,3
Cell113_1,Group1,1
Cell114_1,Group4,4
Cell115_1,Group3,3
Cell116_1,Group4,4
Cell117_1,Group4,4
Cell118_1,Group2,2
Cell119_1,Group4,4
Cell120_1,Group4,4
Cell121_1,Group3,3
Cell122_1,Group2,2
Cell123_1,Group4,4
Cell124_1,Group3,3
Cell125_1,Group3,3
Cell126_1,Group1,1
Cell127_1,Group5,5
Cell128_1,Group3,3
Cell129_1,Group2,2
Cell130_1,Group5,5
Cell131_1,Group1,1
Cell132_1,Group5,5
Cell133_1,Group2,2
Cell134_1,Group5,5
Cell135_1,Group5,5
Cell136_1,Group1,1
Cell137_1,Group4,4
Cell138_1,Group1,1
Cell139_1,Group3,3
Cell140_1,Group3,3
Cell141_1,Group3,3
Cell142_1,Group4,4
Cell143_1,Group4,4
Cell144_1,Group4,4
Cell145_1,Group3,3
Cell146_1,Group5,5
Cell147_1,Group2,2
Cell148_1,Group2,2
Cell149_1,Group1,1
Cell150_1,Group3,3
Cell151_1,Group2,2
Cell152_1,Group3,3
Cell153_1,Group4,4
Cell154_1,Group4,4
Cell155_1,Group1,1
Cell156_1,Group3,3
Cell157_1,Group4,4
Cell158_1,Group2,2
Cell159_1,Group4,4
Cell160_1,Group5,5
Cell161_1,Group2,2
Cell162_1,Group1,1
Cell163_1,Group4,4
Cell164_1,Group2,2
Cell165_1,Group1,1
Cell166_1,Group2,2
Cell167_1,Group1,1
Cell168_1,Group3,3
Cell169_1,Group1,1
Cell170_1,Group1,1
Cell171_1,Group5,5
Cell172_1,Group5,5
Cell173_1,Group4,4
Cell174_1,Group2,2
Cell175_1,Group5,5
Cell176_1,Group1,1
Cell177_1,Group1,1
Cell178_1,Group2,2
Cell179_1,Group4,4
Cell180_1,Group5,5
Cell181_1,Group3,3
Cell182_1,Group1,1
Cell183_1,Group1,1
Cell184_1,Group2,2
Cell185_1,Group5,5
Cell186_1,Group2,2
Cell187_1,Group4,4
Cell188_1,Group5,5
Cell189_1,Group5,5
Cell190_1,Group2,2
Cell191_1,Group5,5
Cell192_1,Group2,2
Cell193_1,Group5,5
Cell194_1,Group4,4
Cell195_1,Group4,4
Cell196_1,Group1,1
Cell197_1,Group1,1
Cell198_1,Group5,5
Cell199_1,Group2,2
Cell200_1,Group5,5
Cell201_1,Group3,3
Cell202_1,Group3,3
Cell203_1,Group5,5
Cell204_1,Group3,3
Cell205_1,Group3,3
Cell206_1,Group5,5
Cell207_1,Group5,5
Cell208_1,Group3,3
Cell209_1,Group3,3
Cell210_1,Group2,2
Cell211_1,Group1,1
Cell212_1,Group3,3
Cell213_1,Group5,5
Cell214_1,Group2,2
Cell215_1,Group1,1
Cell216_1,Group3,3
Cell217_1,Group2,2
Cell218_1,Group3,3
Cell219_1,Group3,3
Cell220_1,Group3,3
Cell221_1,Group4,4
Cell222_1,Group3,3
Cell223_1,Group1,1
Cell224_1,Group4,4
Cell225_1,Group4,4
Cell226_1,Group1,1
Cell227_1,Group3,3
Cell228_1,Group5,5
Cell229_1,Group3,3
Cell230_1,Group2,2
Cell231_1,Group2,2
Cell232_1,Group5,5
Cell233_1,Group5,5
Cell234_1,Group5,5
Cell235_1,Group1,1
Cell236_1,Group5,5
Cell237_1,Group1,1
Cell238_1,Group1,1
Cell239_1,Group5,5
Cell240_1,Group1,1
Cell241_1,Group2,2
Cell242_1,Group1,1
Cell243_1,Group1,1
Cell244_1,Group1,1
Cell245_1,Group3,3
Cell246_1,Group1,1
Cell247_1,Group3,3
Cell248_1,Group4,4
Cell249_1,Group4,4
Cell250_1,Group2,2
Cell251_1,Group5,5
Cell252_1,Group2,2
Cell253_1,Group2,2
Cell254_1,Group3,3
Cell255_1,Group1,1
Cell256_1,Group4,4
Cell257_1,Group5,5
Cell258_1,Group3,3
Cell259_1,Group4,4
Cell260_1,Group5,5
Cell261_1,Group1,1
Cell262_1,Group2,2
Cell263_1,Group4,4
Cell264_1,Group5,5
Cell265_1,Group2,2
Cell266_1,Group2,2
Cell267_1,Group1,1
Cell268_1,Group3,3
Cell269_1,Group3,3
Cell270_1,Group3,3
Cell271_1,Group1,1
Cell272_1,Group1,1
Cell273_1,Group2,2
Cell274_1,Group2,2
Cell275_1,Group5,5
Cell276_1,Group2,2
Cell277_1,Group3,3
Cell278_1,Group1,1
Cell279_1,Group2,2
Cell280_1,Group4,4
Cell281_1,Group4,4
Cell282_1,Group1,1
Cell283_1,Group5,5
Cell284_1,Group1,1
Cell285_1,Group4,4
Cell286_1,Group3,3
Cell287_1,Group5,5
Cell288_1,Group3,3
Cell289_1,Group3,3
Cell290_1,Group1,1
Cell291_1,Group2,2
Cell292_1,Group1,1
Cell293_1,Group3,3
Cell294_1,Group2,2
Cell295_1,Group2,2
Cell296_1,Group1,1
Cell297_1,Group4,4
Cell298_1,Group5,5
Cell299_1,Group5,5
Cell300_1,Group3,3
Cell301_1,Group2,2
Cell302_1,Group1,1
Cell303_1,Group3,3
Cell304_1,Group2,2
Cell305_1,Group3,3
Cell306_1,Group2,2
Cell307_1,Group5,5
Cell308_1,Group2,2
Cell309_1,Group1,1
Cell310_1,Group4,4
Cell311_1,Group3,3
Cell312_1,Group5,5
Cell313_1,Group2,2
Cell314_1,Group1,1
Cell315_1,Group5,5
Cell316_1,Group4,4
Cell317_1,Group5,5
Cell318_1,Group2,2
Cell319_1,Group3,3
Cell320_1,Group1,1
Cell321_1,Group5,5
Cell322_1,Group2,2
Cell323_1,Group5,5
Cell324_1,Group3,3
Cell325_1,Group1,1
Cell326_1,Group2,2
Cell327_1,Group4,4
Cell328_1,Group2,2
Cell329_1,Group4,4
Cell330_1,Group5,5
Cell331_1,Group5,5
Cell332_1,Group4,4
Cell333_1,Group5,5
Cell334_1,Group3,3
Cell335_1,Group4,4
Cell336_1,Group1,1
Cell337_1,Group5,5
Cell338_1,Group2,2
Cell339_1,Group5,5
Cell340_1,Group3,3
Cell341_1,Group2,2
Cell342_1,Group3,3
Cell343_1,Group1,1
Cell344_1,Group5,5
Cell345_1,Group3,3
Cell346_1,Group4,4
Cell347_1,Group2,2
Cell348_1,Group1,1
Cell349_1,Group2,2
Cell350_1,Group2,2
Cell351_1,Group1,1
Cell352_1,Group5,5
Cell353_1,Group4,4
Cell354_1,Group5,5
Cell355_1,Group1,1
Cell356_1,Group1,1
Cell357_1,Group3,3
Cell358_1,Group2,2
Cell359_1,Group5,5
Cell360_1,Group1,1
Cell361_1,Group5,5
Cell362_1,Group5,5
Cell363_1,Group2,2
Cell364_1,Group3,3
Cell365_1,Group4,4
Cell366_1,Group5,5
Cell367_1,Group2,2
Cell368_1,Group2,2
Cell369_1,Group1,1
Cell370_1,Group4,4
Cell371_1,Group1,1
Cell372_1,Group5,5
Cell373_1,Group2,2
Cell374_1,Group2,2
Cell375_1,Group2,2
Cell376_1,Group4,4
Cell377_1,Group4,4
Cell378_1,Group1,1
Cell379_1,Group2,2
Cell380_1,Group5,5
Cell381_1,Group1,1
Cell382_1,Group5,5
Cell383_1,Group5,5
Cell384_1,Group2,2
Cell385_1,Group3,3
Cell386_1,Group3,3
Cell387_1,Group5,5
Cell388_1,Group3,3
Cell389_1,Group5,5
Cell390_1,Group4,4
Cell391_1,Group5,5
Cell392_1,Group1,1
Cell393_1,Group5,5
Cell394_1,Group4,4
Cell395_1,Group5,5
Cell396_1,Group4,4
Cell397_1,Group3,3
Cell398_1,Group2,2
Cell399_1,Group4,4
Cell400_1,Group1,1
Cell401_1,Group3,3
Cell402_1,Group3,3
Cell403_1,Group5,5
Cell404_1,Group3,3
Cell405_1,Group3,3
Cell406_1,Group1,1
Cell407_1,Group4,4
Cell408_1,Group5,5
Cell409_1,Group3,3
Cell410_1,Group1,1
Cell411_1,Group4,4
Cell412_1,Group4,4
Cell413_1,Group5,5
Cell414_1,Group1,1
Cell415_1,Group2,2
Cell416_1,Group2,2
Cell417_1,Group1,1
Cell418_1,Group2,2
Cell419_1,Group2,2
Cell420_1,Group5,5
Cell421_1,Group2,2
Cell422_1,Group2,2
Cell423_1,Group3,3
Cell424_1,Group5,5
Cell425_1,Group4,4
Cell426_1,Group2,2
Cell427_1,Group3,3
Cell428_1,Group3,3
Cell429_1,Group2,2
Cell430_1,Group1,1
Cell431_1,Group1,1
Cell432_1,Group5,5
Cell433_1,Group2,2
Cell434_1,Group4,4
Cell435_1,Group2,2
Cell436_1,Group5,5
Cell437_1,Group1,1
Cell438_1,Group1,1
Cell439_1,Group1,1
Cell440_1,Group3,3
Cell441_1,Group2,2
Cell442_1,Group3,3
Cell443_1,Group2,2
Cell444_1,Group4,4
Cell445_1,Group5,5
Cell446_1,Group3,3
Cell447_1,Group2,2
Cell448_1,Group4,4
Cell449_1,Group2,2
Cell450_1,Group1,1
Cell451_1,Group3,3
Cell452_1,Group3,3
Cell453_1,Group1,1
Cell454_1,Group2,2
Cell455_1,Group2,2
Cell456_1,Group2,2
Cell457_1,Group3,3
Cell458_1,Group1,1
Cell459_1,Group4,4
Cell460_1,Group1,1
Cell461_1,Group3,3
Cell462_1,Group1,1
Cell463_1,Group2,2
Cell464_1,Group5,5
Cell465_1,Group2,2
Cell466_1,Group4,4
Cell467_1,Group5,5
Cell468_1,Group2,2
Cell469_1,Group1,1
Cell470_1,Group5,5
Cell471_1,Group4,4
Cell472_1,Group3,3
Cell473_1,Group3,3
Cell474_1,Group1,1
Cell475_1,Group4,4
Cell476_1,Group3,3
Cell477_1,Group3,3
Cell478_1,Group3,3
Cell479_1,Group3,3
Cell480_1,Group4,4
Cell481_1,Group2,2
Cell482_1,Group4,4
Cell483_1,Group2,2
Cell484_1,Group2,2
Cell485_1,Group2,2
Cell486_1,Group4,4
Cell487_1,Group3,3
Cell488_1,Group2,2
Cell489_1,Group4,4
Cell490_1,Group5,5
Cell491_1,Group5,5
Cell492_1,Group1,1
Cell493_1,Group3,3
Cell494_1,Group4,4
Cell495_1,Group2,2
Cell496_1,Group1,1
Cell497_1,Group1,1
Cell498_1,Group4,4
Cell499_1,Group5,5
Cell500_1,Group4,4
Cell501_1,Group4,4
Cell502_1,Group3,3
Cell503_1,Group2,2
Cell504_1,Group1,1
Cell505_1,Group4,4
Cell506_1,Group3,3
Cell507_1,Group1,1
Cell508_1,Group2,2
Cell509_1,Group3,3
Cell510_1,Group2,2
Cell511_1,Group5,5
Cell512_1,Group2,2
Cell513_1,Group5,5
Cell514_1,Group2,2
Cell515_1,Group1,1
Cell516_1,Group1,1
Cell517_1,Group1,1
Cell518_1,Group5,5
Cell519_1,Group1,1
Cell520_1,Group4,4
Cell521_1,Group3,3
Cell522_1,Group2,2
Cell523_1,Group1,1
Cell524_1,Group2,2
Cell525_1,Group3,3
Cell526_1,Group2,2
Cell527_1,Group2,2
Cell528_1,Group5,5
Cell529_1,Group5,5
Cell530_1,Group2,2
Cell531_1,Group4,4
Cell532_1,Group1,1
Cell533_1,Group2,2
Cell534_1,Group1,1
Cell535_1,Group5,5
Cell536_1,Group1,1
Cell537_1,Group2,2
Cell538_1,Group3,3
Cell539_1,Group4,4
Cell540_1,Group1,1
Cell541_1,Group2,2
Cell542_1,Group4,4
Cell543_1,Group3,3
Cell544_1,Group1,1
Cell545_1,Group3,3
Cell546_1,Group4,4
Cell547_1,Group4,4
Cell548_1,Group4,4
Cell549_1,Group5,5
Cell550_1,Group4,4
Cell551_1,Group1,1
Cell552_1,Group3,3
Cell553_1,Group1,1
Cell554_1,Group4,4
Cell555_1,Group4,4
Cell556_1,Group2,2
Cell557_1,Group1,1
Cell558_1,Group5,5
Cell559_1,Group1,1
Cell560_1,Group1,1
Cell561_1,Group4,4
Cell562_1,Group3,3
Cell563_1,Group4,4
Cell564_1,Group2,2
Cell565_1,Group3,3
Cell566_1,Group2,2
Cell567_1,Group3,3
Cell568_1,Group5,5
Cell569_1,Group1,1
Cell570_1,Group5,5
Cell571_1,Group1,1
Cell572_1,Group2,2
Cell573_1,Group3,3
Cell574_1,Group2,2
Cell575_1,Group1,1
Cell576_1,Group5,5
Cell577_1,Group2,2
Cell578_1,Group1,1
Cell579_1,Group4,4
Cell580_1,Group1,1
Cell581_1,Group5,5
Cell582_1,Group4,4
Cell583_1,Group5,5
Cell584_1,Group1,1
Cell585_1,Group5,5
Cell586_1,Group4,4
Cell587_1,Group3,3
